PC4,OBJECTID,Aantal_adr,Aantal_mul,SHAPE_Leng,SHAPE_Area,GM_NAAM,A_VAC,INWONER,MAN,VROUW,INW_014,INW_1524,INW_2544,INW_4564,INW_65PL,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,AANTAL_HH,TOTHH_EENP,TOTHH_MPZK,HH_EENOUD,HH_TWEEOUD,GEM_HH_GR,WONING,WONVOOR45,WON_4564,WON_6574,WON_7584,WON_8594,WON_9504,WON_0514,WON_1524,WON_MRGEZ,P_KOOPWON,P_HUURWON,WON_HCORP,WON_NBEW,WOZWONING,UITKMINAOW,OAD,STED,ZORGINSTELLING,INW_ZORG,P_VAC,P_ZORG,P_65PL,P_4564,P_2544,P_1524,P_VROUW,P_UITKMINAOW,pred,diffLM,diffLM_inv,Id,pc4_z,pc4_bins
4885,1682,827,1,0.327108440247152,0.003710425090936,Zundert,475,1695,880,815,220,205,300,610,355,80,20,0,705,170,275,30,220,2.4,725,150,130,100,110,85,80,45,25,55,80,20,20,70,324,75,89,5,1,75,28.023598820059,4.42477876106195,20.9439528023599,35.9882005899705,17.6991150442478,12.094395280236,48.0825958702065,4.42477876106195,28.4024766329772,0.38,-0.38,130,0.0688421797263874,5
4891,1683,3134,1,0.370676339438973,0.004449230758107,Zundert,1888,6635,3365,3270,855,790,1335,2155,1500,90,10,0,2810,830,1005,165,795,2.3,2665,295,410,430,510,440,320,155,100,305,80,20,405,170,337,495,461,5,1,235,28.4551620195931,3.54182366239638,22.6073850791259,32.4792765636775,20.120572720422,11.9065561416729,49.2840994724944,7.46043707611153,28.5235896678314,0.07,-0.07,131,-0.0350783990267174,4
4901,1684,6219,1,0.110017431226255,0.000379921678489,Oosterhout,3780,10650,5050,5595,1200,1005,2225,2910,3305,80,10,10,5345,2200,1765,345,1015,2,5495,745,320,1630,495,1295,400,535,75,2165,50,40,1825,195,236,720,2350,2,0,0,35.4929577464789,0,31.0328638497653,27.3239436619718,20.8920187793427,9.43661971830986,52.5352112676056,6.76056338028169,33.5665341845708,-1.93,1.93,132,-0.705533745820942,3
4902,1685,4921,2,0.132711939009629,0.000390602241545,Oosterhout,2570,8650,4335,4315,1175,895,2075,2530,1980,80,10,10,4125,1530,1345,290,940,2.1,4280,300,1835,455,135,690,185,485,195,1615,50,40,1665,215,238,750,1792,2,1,95,29.7109826589595,1.09826589595376,22.8901734104046,29.2485549132948,23.9884393063584,10.3468208092486,49.8843930635838,8.67052023121387,28.2856105688235,-1.43,1.43,133,-0.537919909122386,4
4903,1686,471,2,0.258689847795975,0.000938795949459,Oosterhout,119,370,210,165,40,30,70,140,95,80,20,0,195,85,70,5,30,1.9,75,20,40,,5,,,,,,90,10,,10,327,30,384,5,0,0,32.1621621621622,0,25.6756756756757,37.8378378378378,18.9189189189189,8.10810810810811,44.5945945945946,8.10810810810811,33.0025158188144,0.84,-0.84,134,0.223046909489059,5
4904,1687,5975,1,0.279428918369241,0.001078390050405,Oosterhout,3273,12060,5955,6110,1925,1450,2475,3450,2765,70,10,20,5325,1800,1670,450,1380,2.2,5315,20,725,2740,45,195,585,875,135,1725,50,50,2345,180,264,1020,1303,3,0,0,27.1393034825871,0,22.9270315091211,28.6069651741294,20.5223880597015,12.0232172470978,50.6633499170813,8.45771144278607,28.0044438434701,0.87,-0.87,135,0.233103739690972,5
4905,1688,716,1,0.170254865835203,0.00041127716409,Oosterhout,225,855,435,420,130,115,185,270,160,90,10,0,355,95,110,20,125,2.4,365,145,170,25,10,10,5,,,30,80,20,30,20,263,40,1609,2,0,0,26.3157894736842,0,18.7134502923977,31.5789473684211,21.6374269005848,13.4502923976608,49.1228070175439,4.67836257309942,25.2155600224505,-1.1,1.1,136,-0.427294776901339,4
4906,1689,2188,1,0.163224838569124,0.000672537137416,Oosterhout,1000,4325,2130,2195,885,480,1165,1235,565,80,10,10,1700,355,560,145,640,2.5,1695,,,,,,1050,125,515,385,70,30,335,30,317,225,814,4,0,0,23.121387283237,0,13.0635838150289,28.5549132947977,26.9364161849711,11.0982658959538,50.7514450867052,5.20231213872832,21.7396072804144,-1.38,1.38,137,-0.52115852545253,4
4907,1690,4454,1,0.076056600440282,0.00028844769429,Oosterhout,2853,10385,5130,5250,1745,1135,2350,3090,2065,80,10,10,4410,1145,1520,390,1350,2.4,4360,,,360,3605,330,70,,,280,60,40,1465,35,236,725,1631,2,1,0,27.4723158401541,0,19.8844487241213,29.7544535387578,22.6287915262398,10.9292248435243,50.5536831969186,6.98122291766972,26.5933644043813,-0.88,0.88,138,-0.353544688753974,4
4908,1691,1404,1,0.087113817699923,0.000189797548852,Oosterhout,955,3170,1570,1600,475,330,665,1060,640,80,10,10,1405,385,505,120,385,2.3,1400,,,,,1400,,,,210,60,40,420,15,253,240,1191,3,0,0,30.1261829652997,0,20.1892744479495,33.4384858044164,20.9779179810726,10.410094637224,50.4731861198738,7.57097791798107,27.8234098164079,-2.3,2.3,139,-0.829567984977874,3
